run_accession	experiment_accession	sample_title	fastq_ftp	fastq_md5	fastq_bytes	library_layout	read_count
SRR8554916	SRX5356693	M2 Rep2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR855/006/SRR8554916/SRR8554916_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR855/006/SRR8554916/SRR8554916_2.fastq.gz	f889573d83a80db6fa5607da61965547;20363789db6452a18054d5247b358dce	2860439813;2869800276	PAIRED	45895156
SRR8554917	SRX5356694	M2 Rep3	ftp.sra.ebi.ac.uk/vol1/fastq/SRR855/007/SRR8554917/SRR8554917_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR855/007/SRR8554917/SRR8554917_2.fastq.gz	7fc7a5865e46c8954edeee30b0819a12;8f303590cf4f39a241e69f951bd96710	2222822398;2221896083	PAIRED	35475538
SRR8554920	SRX5356697	M4 Rep3	ftp.sra.ebi.ac.uk/vol1/fastq/SRR855/000/SRR8554920/SRR8554920_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR855/000/SRR8554920/SRR8554920_2.fastq.gz	091f123b6a941c3252c1ee2fb6f7bff0;b382b8ecc4af8abe1ecaa80ff0a9bc24	1966755024;1962667940	PAIRED	31072913
SRR8554906	SRX5356683	G2 Rep1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR855/006/SRR8554906/SRR8554906_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR855/006/SRR8554906/SRR8554906_2.fastq.gz	fb05dfba8df9e3ec263ba3fc7fb24d3f;98c92990b5aca87586528c6b017209b8	1818090820;1835105647	PAIRED	30124846
SRR8554907	SRX5356684	G2 Rep2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR855/007/SRR8554907/SRR8554907_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR855/007/SRR8554907/SRR8554907_2.fastq.gz	f39036e263396a861a39bdb72af6a5a1;f523d06d70ce1736286675bc16f8dc9e	2012340252;1995614424	PAIRED	31388008
SRR8554908	SRX5356685	G2 Rep3	ftp.sra.ebi.ac.uk/vol1/fastq/SRR855/008/SRR8554908/SRR8554908_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR855/008/SRR8554908/SRR8554908_2.fastq.gz	8d57cae17d28ee01ced4b469d593bdbd;d1e67cbe26ad5a59886f270de3c745d2	1986751079;1947759294	PAIRED	30997225
SRR8554910	SRX5356687	G4 Rep2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR855/000/SRR8554910/SRR8554910_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR855/000/SRR8554910/SRR8554910_2.fastq.gz	21acea116114993a929851bdb6bd2cda;b35e4a3be0cd98fe82c3427636a1324c	2373691151;2389988181	PAIRED	37446510
SRR8554913	SRX5356690	M0 Rep2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR855/003/SRR8554913/SRR8554913_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR855/003/SRR8554913/SRR8554913_2.fastq.gz	8e94a1259c7e74f8bca4cbec6db21d38;b8e497b6a55da76f355426964ab7ddf0	1830889836;1856697090	PAIRED	30571906
SRR8554918	SRX5356695	M4 Rep1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR855/008/SRR8554918/SRR8554918_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR855/008/SRR8554918/SRR8554918_2.fastq.gz	b9c21005284f56c62f0a623e342aa56c;1b0f727fb922d02959ab60f72de335ef	2087489359;2138756512	PAIRED	33178187
SRR8554909	SRX5356686	G4 Rep1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR855/009/SRR8554909/SRR8554909_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR855/009/SRR8554909/SRR8554909_2.fastq.gz	ef619d5e72128acd83d43a9178a863ef;668028f3b454979b001ed50dd5f1e00f	2051825428;2073647037	PAIRED	32661640
SRR8554911	SRX5356688	G4 Rep3	ftp.sra.ebi.ac.uk/vol1/fastq/SRR855/001/SRR8554911/SRR8554911_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR855/001/SRR8554911/SRR8554911_2.fastq.gz	b74cb98e9b648a4e395b2a3b96857a85;ea8ffdcbf8298b1d68e114275ffbdaf2	2880585922;2872309457	PAIRED	45571808
SRR8554912	SRX5356689	M0 Rep1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR855/002/SRR8554912/SRR8554912_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR855/002/SRR8554912/SRR8554912_2.fastq.gz	8d87ce363ea5c91f366e31c60df22376;b79914ad4b2384ddf1a0039f02c5d4fe	1911750089;1914301459	PAIRED	31723223
